Adresse,Code postal,Téléphone,Téléphone sans frais,Télécopieur,Courriel,Site Internet,Total: PSL,Total: HLM,Total: Total
" 1199, 4e Avenue", G1J 3B4, (418) 648-1278,,, grt@actionhabitation.qc.ca,,30,0,30
" 727, 8e Avenue", G1J 3M3, (418) 522-5139,,, accueil@meresetmonde.qc.ca,,23,0,23
" Appartement 216 , 9755, boulevard de l'Ormière", G2B 0P8, (418) 847-6619,,, milieudevietcc@gmail.com,,24,0,24
" 1199, 4e Avenue", G1J 3B4,,,, daniel.stgermain@actionhabitation.qc.ca,,34,0,34
" 9155, boulevard Mathieu", G1G 6J9, (418) 623-8606,, (418) 628-0637, lise.bedard@ln.ca,,0,24,24
" 103, rue Racine", G2B 1C9, (418) 842-7462,,, dboivin@lepiolet.com,,50,0,50
" 130, boulevard Charest Est", G1K 0E2, (418) 523-2820,,, pech@qc.aira.com,,84,0,84
" 2500, avenue de L'Abbé-Giguère", G1C 5V9,,,, efortier@immeublepopulaire.qc.ca,,9,0,9
" 9155, boulevard Mathieu", G1G 6J9, (418) 623-8606,, (418) 628-0637, lise.bedard@ln.ca,,0,20,20
" 2A, rue Monseigneur-Marc-Leclerc", G1C 2C4, (581) 742-7001,,, info@lavigile.qc.ca,,0,0,0
" 3, rue Principale", G0T 1L0, (418) 439-3908,,, cotn01@hotmail.com,,0,0,0
" 1240, route Fossambault", G3A 1W8, (418) 878-2867,, (418) 878-3668, dg@residenceleportail.org, www.residenceleportail.org,0,0,0
" 25, rue Saint-Émile, app. 100", G0A 3K0, (418) 606-8606,,, direction@residenceletrefledor.com,,18,0,18
" 1199, 4e Avenue", G1J 3B4, (418) 648-1278,, (418) 648-6214, grt@actionhabitation.qc.ca,,19,33,52
" a/s de Action-Habitation , 1199, 4e Avenue", G1J 3B4,,,, martin.larue@actionhabitation.qc.ca,,14,0,14
" 10682, avenue Royale", G0A 3C0, (418) 998-1009,,, residencesab@videotron.ca,,13,0,13
" Bureau 109 , 105, rue de Courcelette", G1N 4S3, (418) 681-5917,, (418) 681-4367, direction@rbonaventure.com,,0,45,45
" a/s Action-Habitation de Québec , 1199, 4e Avenue", G1J 3B4, (418) 648-1278,, (418) 648-6214, daniel.stgermain@actionhabitation.qc.ca,,0,34,34
" a/s Action-Habitation de Québec , 1199, 4e Avenue", G1J 3B4, (418) 648-1278,, (418) 648-6214, veronique.auger@actionhabitation.qc.ca,,0,25,25
" 765, rue Kirouac", G1N 2J5, (418) 527-1616,, (418) 614-7972, manon.valliere@lesresidenceskirouac.ca,,10,24,34
" 95, rue de la Pointe-aux-Lièvres", G1K 5Y6, (418) 522-8899,,, impq@ipq.quebec,,204,0,204
" 195, rue le Courtois, bureau 115", G5A 3G2, (418) 665-6515,,, domainelaseigneurie2020@outlook.fr,,12,0,12
" a/s Action-Habitation de Québec , 1199, 4e Avenue", G1J 3B4, (418) 648-1278,, (418) 648-6214, grt@actionhabitation.qc.ca,,41,66,107
" 1199, 4e Avenue", G1J 3B4, (418) 683-2155,,, stephanie.lampron@ywcaquebec.qc.ca,,18,0,18
" 1199, 4e Avenue", G1J 3B4, (418) 663-5000,,, daniel.dorval@actionhabitation.qc.ca,,8,0,8
" 110, rue de Courcellette", G1N 4T4, (418) 691-6140,, (418) 691-6335, dg@omhq.qc.ca,,45,0,45
" 97, Notre -Dame-des-Anges", G1K 3E4,,,, direction@squatbv.com,,14,0,14
" 1199, 4e Avenue", G1J 3B4, (418) 648-1278,, (418) 648-6214, daniel.dorval@actionhabitation.qc.ca,,583,0,583
" a/s d'Action Habitation , 1199, 4e Avenue", G1J 3B4,,,, grt@actionhabitation.qc.ca,,34,0,34
" 1199, 4e Avenue", G1J 3B4,,,, daniel.stgermain@actionhabitation.qc.ca,,17,0,17
" 1430, chemin Royal", G0A 4E0,,,, daniel.stgermain@actionhabitation.qc.ca,,11,0,11
" 1199, 4e Avenue", G1J 3B4,,,, veronique.auger@actionhabitation.qc.ca,,0,0,0
" 1841, boulevard Pie-XI Nord", G3J 1N8, (418) 654-6915,,, michan01@bell.net,,29,0,29
" 1486, rue Brébeuf", G8Z 2A1, (819) 371-1023,, (819) 371-2047, secretariat@havre.qc.ca,,0,19,19
" 800, rue Niverville", G9A 2A8, (819) 379-7732,, (819) 376-6536, dany_toupin@ssss.gouv.qc.ca, www.centreinterval.qc.ca,82,0,82
" 1160, Terrasse Turcotte", G9A 5C6,,,, acces.aulogis@cgocable.ca,,51,0,51
" 113, 3e Rue, bureau 100", G9N 1H5, (819) 537-5955,, (819) 537-1914, omhshawinigan@megaquebec.net,,0,6,6
" 440, 200e Avenue", G9T 6N2, (819) 538-5112,,, michele@jaimonappart.ca,,12,0,12
" 1160, Terrasse Turcotte", G9A 5C6, (819) 374-2586,, (819) 374-8147, ghislain.aubin@hotmail.com,,31,12,43
" 20, rue Marcelle-Ferron, app. 1", J5V 0A1, (819) 228-3241,, (819) 228-8561, premier.envol@cgocable.ca,,8,0,8
" 547, rue Commerciale", G9X 3A7, (819) 676-3030,,, gestionltraversy@cgocable.ca,,31,0,31
" 121, rue Saint-Antoine", G9A 1J3, (819) 373-6534,,, rhcm@hotmail.ca,,12,0,12
" 1190, rue Notre-Dame", G9N 3S4, (819) 539-8874,, (819) 539-9171, directiongenerale@residencechrist-roi.ca,,47,0,47
" 1160, Terrasse Turcotte", G9A 5C6, (819) 374-2586,, (819) 374-8147, m.tessier@habitationspopulaires.ca,,0,36,36
" 897, rue Saint-Pierre", G9A 4W5, (819) 374-0825,, (819) 374-8147, info@residencelejardin.com,,23,0,23
" 80, 116e Rue", G9P 5K7, (819) 536-5333,,, villatournesol@cgocable.ca,,7,0,7
" 320, rue Cartier", J1X 1X6, (819) 847-1299,,, accueilnd@msn.com,,28,0,28
" 27, rue Neil-Armstrong", J0E 1X0,,,, georgejoanne0@gmail.com,,10,0,10
" 2975, rue Agnès", G6B 1K8,,,, hebergementrepit@hotmail.com,,4,0,4
" 3232, rue Delorme", J1K 2Z5, (819) 578-7600,,, airesherbrooke@gmail.com,,8,5,13
" 500, rue Murray, bureau 850", J1G 2K6, (819) 780-2220,, (819) 780-8985, sgagne.csss-iugs@ssss.gouv.qc.ca,,0,0,0
" 4982, rue Champlain, bureau 104", G6B 1X8, (819) 583-2370,, (819) 583-3109, direction@omhdugranit.ca,,7,9,16
" 19, chemin Colbycroft", J0B 3E2,,,, 19colbycroft@gmail.com,,5,0,5
" 450, 2e Avenue", J0B 3J0, (819) 349-5217,, (819) 877-3673, residenceweedon@hotmail.com,,7,0,7
" 305, rue Dufferin", J1H 4M5, (819) 565-1226,, (819) 565-5192, lacordee@lacordeerasm.org,,0,6,6
" 220, rue Craig Sud , Case postale 961", J0B 1M0,,,,,,3,0,3
" 525, rue Saint-Edouard, app 101", J2N 1G6, (450) 293-1631,, (450) 293-4429, info@entreechezsoi.org,,28,0,28
" 120, rue des Ruisselets , Bureau 100", J1A 3J3,,,,,,20,0,20
" 2475, rue Beaudry, bureau 100", J1J 1K9, (819) 345-5346,,, habitations.lequerre@videotron.ca,,40,0,40
" Bureau 100 , 247, rue Calixa-Lavallée", J1X 4X4, (819) 200-1254,,, 6745073@gmail.com,,0,27,27
" 70, rue des Quatre-Saisons", J1X 0H3,,,,,,20,0,20
" 977, rue Galt ouest, bureau 202", J1H 1Z6, (819) 562-8877,,, direction@handiapte.com,,25,0,25
" 465, rue MacDonald", J1X 1M2,,,, hmomlrc@hotmail.ca,,11,0,11
" 1896, rue Thomas-Evans , Bureau 113", J1E 0M9, (819) 542-1136,,,,,13,0,13
" 3649, rue du Président-Kennedy", G6B 3A1, (819) 583-2370,,, direction@omhdugranit.ca,,0,12,12
 Case postale 22001, J1E 4B4, (819) 569-3611,,, administration@escaleestrie.com,,0,9,9
" 107, chemin Ruiter-Brooks", J0E 1X0, (819) 292-3835,,, sunshinehousemansonville@gmail.com,,3,0,3
" 127, rue Principale, bureau 105", J2K 1J3, (450) 263-4123,, (450) 263-3489, geoff.webber@mnp.ca,,0,45,45
" 3195, rue College, bureau 100", J1M 0E7, (819) 481-1853,,, direction@monshack.ca,,18,0,18
" 22, rue William-Ives, bureau 100", J1E 2C2, (819) 566-7868,, (819) 569-1212, Marie-Claude.Begin@omhsherbrooke.qc.ca,,244,28,272
" 1461, 10e Rang Ouest", J2J 0P7,,,, gerard.gevry@gmail.com,,5,0,5
" 300, rue King Est, bureau 200", J1G 1B1, (819) 346-8411,, (819) 346-4580, suzanne.bernier.ciussse-chus@ssss.gouv.qc.ca,,4,0,4
" 1160, Terrasse Turcotte", G9A 5C6, (819) 374-2586,, (819) 374-8147, m.tessier@habitationspopulaires.ca,,0,60,60
" 739, rue Dufferin", J2H 2H5,,,,,,0,0,0
" 599, boulevard Simoneau", J1T 4G7,,,, rem@cgocable.ca,,11,0,11
" 216, rue Martin", J1X 3M7, (819) 868-1114,,, gestion@villapierrot.org,,21,0,21
" 33, rue Western", J0E 2K0, (450) 538-1291,,, villasdesmonts@axion.ca,,13,0,13
" 5940, boulevard Monk", H4E 3H4, (514) 362-7221,, (514) 362-7076, direction@achim.ca,,30,0,30
" 110, rue Saint-Catherine Est", H2X 1K7, (514) 507-7015,,, valerie.meplon@lesacados.org,,40,0,40
" 2310, boul. de Maisonneuve Est", H2K 2E7, (514) 527-6668,,, jdupuis@fohm.org,,40,0,40
" 2000, rue Notre-Dame Ouest", H3J 1M8,,, (514) 288-4657, direction@abri-espoir.org,,0,0,0
" Bureau 409 , 444, rue de la Poudrière", H4G 3L9, (438) 880-5200,, (514) 767-6843, ass.can.slave@gmail.com,,0,64,64
" 4373, ave de l'Esplanade", H2W 1T2, (514) 845-0151,,, comptabilite@lechainon.org,,49,0,49
" Bureau 101 , 2430, boul. Henri-Bourassa Est", H2B 1T7, (514) 381-8026,, (514) 388-3053, cd@associationiris.ca, www.association-iris.qc.ca,15,9,24
" 2021, rue Union, bureau 855", H3A 2S9, (514) 931-5757,,, associationbenevole@bellnet.ca,,42,0,42
" 4775, rue Curatteau", H1K 4A8, (514) 527-5720,,, gbeaudoin@fohm.org,,0,31,31
" 533, rue Ontario Est, bureau 450", H2L 1N8, (514) 526-5222,,, isabellem@danslarue.org, www.danslarue.org,16,0,16
" Appartement 1 , 10175, boulevard Saint-Laurent", H3L 2N5, (514) 844-2322,,, brindelles@videotron.ca,,57,0,57
" 300, place des Brises", H8S 4M2, (514) 637-1110,, (514) 637-0207, admin1@lesbrisesdelachine.org,,0,0,0
" Case postale 60017 , BP Villeray", H2R 0B5, (514) 274-9887,,, bcjgestion@gmail.com,,10,0,10
" 1611, avenue d'Orléans", H1W 3R4, (514) 523-9283,,, direction@carrefourfamilial.com,,5,0,5
