Adresse,Code postal,Téléphone,Téléphone sans frais,Télécopieur,Courriel,Site Internet,Total: PSL,Total: HLM,Total: Total
" 160, boul. Dequen, app. 4", G8B 5N3, (418) 693-9100,, (418) 543-4698, reginelalancette@hotmail.com,,1,0,1
" 210, rue du Cran", G7J 2K2, (418) 693-9100,, (418) 543-4698, reginelalancette@hotmail.com,,3,0,3
" Appartement 8 , 874, rue Léonidas-Bélanger", G7H 1M5, (418) 543-9670,, (418) 543-7862, habitationpopulaire@bellnet.ca,,8,0,8
" 889, rue de l'Écluse, bureau 12", G7J 4X3, (418) 696-0633,, (418) 543-4698, gestion.fechas@fechas.ca,,8,0,8
" Appartement 12 , 61, rue Jacques-Cartier Ouest", G7J 1E9, (418) 698-8890,,, gestion.fechas@fechas.ca,,2,0,2
" 30, rue Racine Est, bureau 110", G7H 1P5, (418) 543-1893,,, gestion.fechas@fechas.ca,,7,0,7
" 649, rue Gosselin", G7J 4K1,,,, chajor2015@gmail.com,,0,0,0
" Appartement 108 , 611, boulevard St-Joseph", G8H 2K9, (418) 693-9100,,, reginelalancette@hotmail.com,,4,0,4
" Bureau 21 , 464, rue Saint-Philippe", G7H 2J4, (418) 602-6032,,, gestion.fechas@fechas.ca,,6,0,6
" Appartement 106 , 1121, rue Joseph-Dandurand", G7H 6S4,,,, bilodeau.jasmin@videotron.ca,,2,0,2
" 894, rue Armand, appartement 9", G8B 4C4, (418) 693-9100,, (418) 543-4698, reginelalancette@hotmail.com,,3,0,3
" Appartement 16 , 1200, rue Lorenzo-Genest", G7H 6N9, (418) 596-0713,, (418) 543-4698, reginelalancette@hotmail.com,,4,0,4
" 1120, rue Price Ouest, app. 1", G8B 4T7,,,, lucie22fortin@hotmail.com,,4,0,4
" 2162, rue Sainte-Justine", G7X 9X8, (418) 542-0009,, (418) 512-0720, gestion.fechas@fechas.ca,,0,16,16
" 23, rue des Roses, app.19C", G8G 1R4,,,, habitationpopulaire@bellnet.ca,,2,0,2
" 3880, rue Saint-Nicolas, app. 2", G7X 0B2, (418) 490-0119,,, gestion.fechas@fechas.ca,,0,12,12
" 1024, rue Nil-Tremblay, app. 7", G7H 1M8, (418) 545-6860,,, secretaire_coop_moraine@hotmail.com,,4,0,4
" 153, rue Jean-Langevin", G7H 3T9, (418) 543-9670,,, habitationpopulaire@bellnet.ca,,2,0,2
" 322, avenue Nolin, app. 2", G8B 3N6, (418) 543-6858,, (418) 543-4698, gestion.fechas@fechas.ca,,6,0,6
" 100, rue Maisonneuve", G7G 1M4,,,, cooplepentagone@videotron.ca,,0,0,0
" 1729 rue Normandie, app 2", G7S 2R9, (418) 543-6858,, (418) 543-4698, cooperativeplacedeslilas@gmail.com,,8,0,8
" Appartement 5 , 320, rue Sacré-Coeur Ouest", G8B 1L8, (418) 543-6858,,, gestion.fechas@fechas.ca,,2,0,2
" 1105, boul. St-Joseph", G8H 2M2, (418) 693-9100,, (418) 543-4698, reginelalancette@hotmail.com,,1,0,1
" 1799, rue St-François-Xavier , appartement 23", G7X 4N8,,,, gestion.fechas@fechas.ca,,11,0,11
" 25, rue Néron, bureau 200", G7H 8B7, (418) 543-9670,, (418) 543-7862, habitationpopulaire@bellnet.ca,,6,0,6
" 4089, rue Saint-Eugène", G8A 1G6, (418) 543-9670,, (418) 543-7862, habitationpopulaire@bellnet.ca,,5,0,5
" 2190, rue Saint-Edmond", G8A 2G1,,,, coopstgeorgesjonquiere@gmail.com,,7,0,7
" 2113, boul.du Saguenay Ouest", G7S 4H9, (418) 543-9670,, (418) 543-7862, habitationpopulaire@bellnet.ca,,0,0,0
" 638, rue Cabot", G7G 4G8, (418) 543-9670,, (418) 543-7862, habitationpopulaire@bellnet.ca,,3,0,3
" 2144, rue Sainte-Berthe, app. 1", G7X 5G9, (418) 543-9670,, (418) 543-7862, habitationpopulaire@bellnet.ca,,1,0,1
" 275, rue du Parvis, bureau 205A", G1K 6G7, (418) 648-1354,,, jfillion@fechaqc.coop,,22,0,22
" 1160, boul. Pie-XI Sud , Appartement 109", G3K 0T9,,,, lgauthier@fechaqc.coop,,24,0,24
" 8100, boulevard de l'Ormière", G2C 0K5, (418) 407-1980,,, chatelois@videotron.qc.ca,,33,0,33
" 95, rue de la Pointe-aux-Lièvres", G1K 5Y6, (418) 522-8899,,, impq@ipq.quebec,,26,0,26
" a/s de la FÉCHAQC , 275, rue du Parvis, bureau 205A", G1K 6G7, (418) 648-1354,, (418) 648-9991, jfillion@fechaqc.coop, www.coop-habitation.org,0,6,6
" 1199 , 4e Avenue", G1J 3B4,,,, pmdoucet@fechaqc.coop,,20,0,20
" 550, rue Jacques-Parizeau , bureau 510", G1R 2G1, (418) 670-4047,,,,,0,0,0
" 300, 2e Avenue", G0A 2Y0, (418) 286-4000,, (418) 286-4066, residenceportneuvienne@globetrotter.net,,13,0,13
" 2127, avenue Chapelaine", G1V 1M8, (418) 648-1354,,, ca.coopletale@gmail.com,,16,0,16
" 424, boulevard Chabot", G0A 4L0,,,, villaduclocher@hotmail.com,,7,0,7
" 3467, rue Paquin", G1M 2N1,,,, danigo@videotron.ca,,2,0,2
" 545, 8e Rue", G1J 2R1, (418) 522-6492,, (418) 525-5228, coop8erue@gmail.com,,1,0,1
" 1510, de la Pente", G2E 5H8,,, (418) 648-6214, stephane.lebrun@actionhabitation.qc.ca,,6,0,6
" 959, rue Scott", G1R 3E1, (418) 255-2743,,, cacoopaccordeonsnous@gmail.com,,7,0,7
" a/s de la FÉCHAQC , 275, rue du Parvis, bureau 205A", G1K 6G7, (418) 648-1354,, (418) 648-9991, mkabore@fechaqc.coop, www.coop-habitation.org,0,9,9
" 470, rue D'Aiguillon, app. 2", G1R 1M2,,,, avigneault@fechaqc.coop,,2,0,2
" 1199, 4e Avenue", G1J 3B4, (418) 648-1278,, (418) 648-6214, denis.drapeau@actionhabitation.qc.ca,,6,0,6
" 543, rue Saint-Gabriel", G1R 1W4,,,, coop.larchange@gmail.com,,6,0,6
" a/s de la FECHAQC , 275, rue du Parvis, bureau 205A", G1K 6G7, (418) 681-4360,,, claplante@fechaqc.coop,,15,0,15
" 1199, 4e Avenue", G1J 3B4, (418) 648-1278,,, lgauthier@fechaqc.coop,,11,0,11
" 722, rue Saint-Olivier", G1R 1H5, (418) 523-9066,,, nicfau@hotmail.com,,1,0,1
" 2480, rue du Rhin, app. 4", G1P 2Z6,,,, stephane.lebrun@actionhabitation.qc.ca,,12,0,12
" 101, avenue Lamontagne, app. 4", G1L 2B8,,,, claplante@fechaqc.coop,,2,0,2
" 1199, 4e Avenue", G1J 3B4, (418) 648-1278,,, grt@actionhabitation.qc.ca,,13,0,13
" Appartement 11 , 286, rue Charles-É.-Grenier", G1E 2X8, (418) 648-1278,,, martin.larue@actionhabitation.qc.ca,,6,0,6
" 255, 55e Rue Est, appartement 7", G1H 2G7,,,,,,4,0,4
" 5280, 5e Avenue Est", G1H 3R6,,, (418) 648-6214, france.masson@actionhabitation.qc.ca, www.actionhabitation.qc.ca,6,0,6
" 279, rue Châteauguay", G1K 2E1,,,, cgiroux@ipq.quebec,,3,0,3
" a/s de la FÉCHAQC , 275, rue du Parvis, bureau 205A", G1K 6G7,,,, mkabore@fechaqc.coop,,6,0,6
" a/s Action-Habitation de Québec , 1199, 4e Avenue", G1J 3B4, (418) 648-1278,, (418) 648-6214, martin.larue@actionhabitation.qc.ca,,0,14,14
" 275, rue Menuisier-Laberge", G1K 6N5, (418) 522-2786,,, nlcarvajal@fechaqc.coop, www.cooperativehabitation.coop,3,0,3
" 3520, rue Long-Sault, bureau 3", G1E 1H6, (418) 648-1354,,, info@fechaqc.coop,,5,0,5
" a/s de la FÉCHAQC , 275, rue du Parvis, bureau 205A", G1K 6G7, (418) 648-1354,, (418) 648-9991, jharvey@fechaqc.coop, www.coop-habitation.org,0,6,6
" 775, rue du Roi", G1K 2X8,,,, zaboulou@hotmail.com,,0,0,0
" 363, rue du Pont, appartement 12", G1K 6M5, (418) 529-0972,, (418) 525-5228, chaletdecoucous@gmail.com,,1,0,1
" a/s de la FECHAQC , 275, rue du Parvis, bureau 205A", G1K 6G7, (418) 648-1354,, (418) 648-9991, mkabore@fechaqc.coop,,0,12,12
" 6205-6215, avenue Banville", G2C 2A1, (418) 648-1278,, (418) 648-6214, danstg@actionhabitation.qc.ca,,9,0,9
" 95, rue de la Pointe-aux-Lièvres", G1K 5Y6, (418) 522-8899,,, impq@ipq.quebec,,26,0,26
" Case postale 263 , Succursale Haute-Ville", G1R 4P8,,,, duchemintresorier@gmail.com,,3,0,3
" 807, rue Saint-Vallier Ouest", G1N 1E3,,,, martin.larue@actionhabitation.qc.ca,,4,0,4
" 537, rue Saint-Jean", G1R 1P5,,,, cooperativechloe@gmail.com,,3,0,3
" 5-813, rue des Lilas Est", G1J 1B4,,,, denis.drapeau@actionhabitation.qc.ca, www.actionhabitation.qc.ca,6,0,6
" a/s de la FECHAQC , 275, rue du Parvis, bureau 205A", G1K 6G7, (418) 648-1354,,, claplante@fechaqc.coop,,16,0,16
" 595, rue D'Aiguillon", G1R 1M4,,,,,,5,0,5
" 95, rue de la Pointe-aux-Lièvres", G1K 5Y6, (418) 522-8899,, (418) 522-0267, impq@ipq.quebec, www.ipq.quebec,49,0,49
" 2425, boulevard Bastien , Case postale 58008", G2B 5H4,,,, lafontaine.coop@gmail.com,,19,0,19
" 4224, rue des Cyprès, app. 4", G1G 1S5, (418) 977-3945,,, yves055@sympatico.ca,,3,0,3
" 567, avenue du Fleuve", G1E 3N1, (418) 648-1278,, (418) 648-6214, stephane.lebrun@actionhabitation.qc.ca,,16,0,16
" 786, boulevard Charest Est", G1K 3J7,,,, cgiroux@ipq.quebec,,8,0,8
" 6225, avenue Banville, app. 450", G2C 2A1, (418) 648-1278,,, france.masson@actionhabitation.qc.ca,,8,0,8
" 2580, rue du Rhin, app. 10", G1P 2Z8,,,, denis.drapeau@actionhabitation.qc.ca.,,6,0,6
" 725, côte St-Olivier", G1R 1H4, (581) 307-5290,, (418) 649-6192, etoiledunord.ca@gmail.com,,2,0,2
" a/s de la FÉCHAQC , 275, rue du Parvis, bureau 205A", G1K 6G7, (418) 648-1354,, (418) 648-9991, mkabore@fechaqc.coop, www.coop-habitation.org,0,18,18
" 1199, 4e Avenue , a/s Action-Habitation de Québec", G1J 3B4, (418) 648-1278,, (418) 648-6214, martin.larue@actionhabitation.qc.ca,,13,15,28
" 1735, côte à Gignac", G1T 2M9,,,, falaisedesillery@gmail.com,,3,0,3
" 95, rue de la Pointe-aux-Lièvres", G1K 5Y6, (418) 522-8899,, (418) 522-0267, impq@ipq.quebec,,2,0,2
" 2290, rue Trudeau, app. 20", G1P 3J8, (418) 648-1278,,, denis.drapeau@actionhabitation.qc.ca,,13,0,13
" 751, rue Sainte-Marie, app. 1", G1R 3H3,,,, bouidgepaquette@gmail.com,,0,0,0
" 2236, avenue Royale, app. 6", G1C 1P1,,,, jharvey@fechaqc.coop,,2,0,2
" 48, rue Saint-Pierre", G1K 3Z8,,,, mrousseau@ipq.quebec,,4,0,4
" Appartement 15 , 1501, boulevard Jean-Talon Ouest", G1G 2L5, (418) 628-6375,, (418) 648-9991, jfillion@fechaqc.coop, www.cooperativehabitation.coop,7,0,7
" Appartement 13 , 1395, rue des Pins Ouest", G2E 1G9, (418) 872-2356,,, info@fechaqc.coop, www.cooperativehabitation.coop,2,0,2
" 238-242, rue Arago Ouest", G1K 2H8, (418) 647-0067,,, les.habitations.sympathiques@outlook.com,,3,0,3
" 95, rue de la Pointe-aux-Lièvres", G1K 5Y6,,,, mdaigle@ipq.quebec,,5,0,5
" 3806, rue Verret app.1", G2B 1G8,,,, admin@coophirondelle.ca,,6,0,6
" Appartement 104 , 904, rue de la Chevrotière", G1R 3J2, (418) 527-1791,,, cooperativeilotberthelot@gmail.com,,6,0,6
" Bureau 205 A , 275, rue du Parvis", G1K 9G4, (418) 648-1278,, (418) 646-6214, manon.leblanc@actionhabitation.qc.ca,,6,0,6
" 440, rue Saint-François Est", G1K 2Z2, (418) 647-9832,,,,,1,0,1
" 1005, rue des Métallos, app. 12", G1N 1K3, (418) 659-7376,,, larchercarole@gmail.com,,0,0,0
" Appartement 5 , 385, rue des Bouleaux Ouest", G1L 1M2, (418) 522-8899,,, impq@ipq.quebec,,11,0,11
" Appartement 100 , 920, rue de la Chevrotière", G1R 3J2,,,, tresorier@coopescalier.org,,36,0,36
" 1101, rue des Ardennes. app 303", G1N 0A4,,,, coop.horizon.nouveau.stsauveur@gmail.com,,11,0,11
" Administration , 601, rue Colbert", G1K 5L5,,,, calabaraque@outlook.com,,8,0,8
" a/s de la FÉCHAQC , 275, rue du Parvis, bureau 205A", G1K 6G7, (418) 648-1354,, (418) 648-9991, coopmaisondupeuple@gmail.com, www.cooperativehabitation.coop,0,0,0
" 79, rue d'Orléans, app. 11", G1E 4Z5, (418) 648-1278,, (418) 648-6214, stephane.lebrun@actionhabitation.qc.ca,,10,0,10
" 5, rue Jean-Bouter", G1E 0A3, (418) 648-1354,,, cooperativeharfangdebeauport@gmail.com,,0,0,0
" 275, rue du Parvis, bureau 205-A", G1K 6G7, (418) 840-0934,,, leparadisier@videotron.ca,,8,0,8
" Appartement 102 , 2109, avenue Chapdelaine", G1V 1M8,,,, claplante@fechaqc.coop,,0,0,0
" 350, 5e Rue", G1K 2R9,,,, ca@penates.org,,8,0,8
" 1199, 4e Avenue", G1J 3B4, (418) 648-1278,,, denis.drapeau@actionhabitation.qc.ca,,8,0,8
" 310, rue des Lilas Ouest, app. 9", G1L 1B5,,,, jharvey@fechaqc.coop,,8,0,8
" 580, rue de l'Éperon, app. 4", G1K 6S8, (418) 661-7291,,, frifri@live.ca,,1,0,1
" 1500, avenue D'Assise Bureau 7 , 275, rue du Parvis, bureau 205A", G1L 3V1, (418) 648-1354,, (418) 648-9991, info@fechaqc.coop, www.cooperativehabitation.coop,6,0,6
" 245, rue Lafayette , Bureau coopérative", G1N 3H7,,,, claplante@fechaqc.coop,,0,0,0
" 3370, rue Paquin", G1M 2M9,,,, coop1000fleurs@outlook.com,,1,0,1
" 467, rue Bayard, appartement 2", G1K 4S4, (418) 999-0925,,, claplante@fechaqc.coop,,4,0,4
" Appartement 13 , 256, rue Charles-É.-Grenier", G1E 4X8, (418) 648-1278,, (418) 648-6214, grt@actionhabitation.qc.ca,,6,0,6
" 10435, boul. Couture, app. 01", G2B 3T2, (418) 843-1059,,, stephane.lebrun@actionhabitation.qc.ca,,10,0,10
" 135, rue Samson, appartement 6", G1M 1B9,,,, nlcarvajal@fechaqc.coop,,5,0,5
" 3480, rue Paquin", G1M 2M9, (418) 681-6886,,, rejanelabrie2018@gmail.com,,1,0,1
" 785, rue du Roi", G1K 2X8,,,, claplante@fechaqc.coop,,9,0,9
" 76, rue Saint-Amand", G2A 2K9, (418) 648-1354,, (418) 648-9991, cooperativehabitationomega@hotmail.fr, www.coop-habitation.org,0,0,0
" 3092, rue Dubé", G1M 3K4,,,, cooporchidee@hotmail.com,,2,0,2
" Appartement 4 , 884, rue Monseigneur-Grandin", G1V 3X9,,,, yokemartin@yahoo.ca,,7,0,7
" 1199, 4e Avenue", G1J 3K4, (418) 648-1278,,, denis.drapeau@actionhabitation.qc.ca,,15,0,15
" 440, rue Kirouac, appartement 3", G1K 2A7,,,, perceneigecoop@gmail.com,,2,0,2
" 455, rue Richelieu, app.3", G1R 1K2,,,, cooperative.petunia@gmail.com,,2,0,2
" 127, rue d'Orléans", G1E 4Z7, (418) 648-1278,, (418) 648-6214, denis.drapeau@actionhabitation.qc.ca,,8,0,8
" 95, rue de la Pointe-aux-Lièvres", G1K 5Y6, (418) 522-8899,, (418) 522-0267, impq@ipq.quebec,,16,0,16
" a/s d'Action-Habitation , 1199, 4e Avenue", G1J 3B4, (418) 648-1278,,, martin.larue@actionhabitation.qc.ca,,3,15,18
" 752, 4e Rue, appartement 3", G1J 2T6, (418) 529-1193,,,,,4,0,4
" 320, rue Bouffard, app. 10", G1N 4N4, (418) 681-7181,,, coop.providence@bellnet.ca,,16,0,16
" 2475, rue Trudeau, appartement 2", G1P 3J9, (418) 683-2346,, (418) 648-9991, claplante@fechaqc.coop, www.cooperativehabitation.coop,8,0,8
" 3735, rue Sicotte, app. 103", G2B 3X3, (581) 849-5697,,, cooprivieresneufchatel@gmail.com,,9,0,9
" 554, rue Durocher, appartement 6", G1K 4Y8,,,, durocherperchecoop@gmail.com,,4,0,4
" 480, rue Napoléon, app. 5", G1K 1V5, (418) 648-1354,, (418) 648-9991, pmdoucet@fechaqc.coop, www.cooperativehabitation.coop,4,0,4
" A/S FECHAQC , 275, rue du Parvis, bureau 205A", G1K 6G7, (418) 847-5671,,, lgauthier@fechaqc.coop,,7,0,7
" Appartement 7 , 96, avenue Saint-Grégoire", G1C 2H2,,,, dragon13@bell.net,,0,0,0
" 3975, rue Sicotte, app. 25", G2B 3X3, (418) 997-6703,,, claplante@fechaqc.coop, www.cooperativehabitation.coop,12,0,12
" 110, av. Simon-Napoléon-Parent", G1K 1H4, (418) 524-7065,,, sixbalcons@gmail.com,,0,0,0
" 3299, rue Riverin", G1M 2K5,,,,,,0,0,0
" 2230, rue Bruneau, app. 2", G1J 2J9,,,, cooplesoleillevant@gmail.com,,4,0,4
" 275, du Parvis, bureau 205A", G1K 6G7, (581) 742-1278,, (418) 648-6214, claplante@fechaqc.coop,,11,0,11
" Case postale 70001 , Succursale St-Jan Baptiste", G1R 6B1,,,,,,8,0,8
" 325, rue Soumande , Case postale 32048", G1M 2S0, (418) 523-6945,,, manon.leblanc@actionhabitation.qc.ca,,7,0,7
" a/s Action-Habitation de Québec , 1199, 4e Avenue", G1J 3B4, (418) 648-1278,,, manon.leblanc@actionhabitation.qc.ca,,15,0,15
" a/s de la FÉCHAQC , 275, du Parvis, bureau 205A", G1K 6G7,,,, lgauthier@fechaqc.coop,,9,0,9
" 767, rue D'Aiguillon", G1R 1M8, (418) 554-7753,,, coop.habitation.varsovie@gmail.com,,2,0,2
 4-75 rue d'Orléans, G1E 4Z5, (418) 648-1354,,, pmdoucet@fechaqc.coop,,3,0,3
" 45, rue du Manège, appartement C", G1E 5G7,,,, manon.leblanc@actionhabitation.qc.ca,,1,0,1
" 432, rue Saint-Olivier, app. 1", G1R 1G7, (418) 522-8055,, (418) 522-7555, coopvivreenville@gmail.com,,5,0,5
" Bureau 1000 , 2655, rue de la Picardie", G1V 4V1, (418) 653-2265,,, coop-st-denys@outlook.com,,11,0,11
" 1, rue des Pionniers", G0A 3L0, (418) 339-3131,,, maison-pionnier@hotmail.com,,1,0,1
" 222, rue St-Joseph", G0A 4B0,,,, pavillon.andre.darveau@gmail.com,,14,0,14
" 301, rue Saint-Jacques", G0X 3G0, (418) 289-2070,,, julie.veillette@regionmekinac.com,,12,0,12
" 1160, Terrasse Turcotte", G9A 5C6,,,, reception@habitationspopulaires.ca,,5,0,5
" 140, rue Hériot", J2C 1J8, (819) 477-6986,,, info@fechmacq.ca,,6,0,6
" 670, 208e Avenue, appartement 3", G9T 6X9,,,, mathismayann@hotmail.com,,0,0,0
" 1024, rue de Mezy, app. 2", G8T 7E7,,,,,,4,0,4
" 130, rue Sirois, app. 9", G9A 2X6, (819) 477-6986,,, iallard@fechmacq.ca,,6,0,6
" 40 rue Pierre-Boucher, app 2", G8W 1N1, (819) 477-6986,,, iallard@fechmacq.ca,,4,0,4
" Appartement 3 , 1982, rue Alexandre-Gélinas", G9N 8K4, (819) 384-7666,,, logicielsjmc@gmail.com,,0,16,16
" 1160, Terrasse Turcotte", G9A 5C6,,,, reception@habitationspopulaires.ca,,5,0,5
" 455, rue Montplaisir", G8T 3B4, (819) 477-6986,, (819) 477-3827, iallard@fechmacq.ca,,1,0,1
" 775, rue Couture, appartement 1", G9A 5Y6,,,, cooptraitunion@hotmail.com,,1,0,1
" 580, rue Forget, appartement 3", G8T 6C8, (819) 477-6986,,, iallard@fechmacq.ca,,3,0,3
" 1160, Terrasse Turcotte", G9A 5C6, (819) 374-2586,, (819) 374-8147, ghislain.aubin@habitations.qc.ca,,0,12,12
" 1531, rue Principale", G0X 2V0,,,, coopstjeandespiles@hotmail.fr,,10,0,10
" 24, rue Saint-Gabriel", G0X 3E0, (418) 328-3320,,, manoirdeuxrivieres@gmail.com,,5,0,5
" 386, Armand-Lavallée", G0X 1M0,,,, papijl@xittel.ca,,10,0,10
" 155, rue Principale , C.P. 100", J0B 2V0, (819) 845-2191,,, aujardindessages@hotmail.ca,,11,0,11
" 122, rue du Parc", J0E 1Y0, (450) 532-2786,,, brune@cooptel.qc.ca,,6,0,6
" Appartement 104 , 1357, rue de Courcelette", J1H 5X4, (819) 846-3425,,, coopdeshaubans@hotmail.com,,18,0,18
" 104, rue Laval Sud", J2G 7G9, (450) 405-3113,,,,,25,0,25
" 548, rue Dufferin", J1H 4N1, (819) 565-4141,,, coordination@autretoit.coop,,46,0,46
" 225, 5e Avenue", J0B 3J0, (819) 877-2917,,,,,0,0,0
" 34, rue Principale Nord", J0B 1Y0, (819) 235-8585,, (819) 235-8585, montsetvallee@gmail.com,,5,0,5
" 242, rue Denison Ouest, app. 107", J2H 4E1, (819) 566-6303,, (819) 829-1593, coopamitiegranby@yahoo.ca,,0,22,22
" 350, rue Saint-Lambert, app. 3", J1C 0N9,,,, diane.premont@reseaucoop.com,,3,0,3
" 548, rue Dufferin", J1H 4N1, (819) 566-8258,, (819) 829-1593, philippe.grenier@reseaucoop.com,,63,0,63
" 1275, rue Champlain, app. 3", J1X 2N4, (819) 452-1275,, (819) 829-1593, diane.premont@reseaucoop.com,,12,0,12
" 159, rue Miquelon", J0A 1G0, (819) 828-2911,,,,,2,0,2
" 34, rue des Pins", J0E 1P0, (450) 297-1017,,, villadargent@hotmail.com,,0,0,0
" Appartement 00 , 900, rue de L'Ancienne-Carrière", J1H 0G1, (819) 812-0566,,, 900chgf@gmail.com,,19,0,19
" 458, rue Dufferin", J1H 4N1, (819) 566-6303,,, hasbecome@hotmail.com,,0,0,0
" 740, place des Ormeaux, app. 1", J1G 3L5, (819) 823-7403,,, cooperativedesormeaux@gmail.com,,14,0,14
" 124, rue Watopeka, app. 107", J1S 1N2,,,,,,5,0,5
" 150, rue Grant, bureau 310", J4H 3H6, (450) 651-5520,, (888) 651-5522, angelamazo@fecham.coop,,0,8,8
" 503, rue Mercier, appartement 2", J1T 3E4, (819) 879-5800,,, coop.hab.mercier.asbestos@cgocable.ca,,3,0,3
" 1455, rue de Kingston, app. 22", J1H 3T2, (819) 822-8953,,, info@coopdelamontagne.com,,18,0,18
" 250, 5e Avenue", J0B 3J0,,,, cooplemoulindescedres1@gmail.com,,6,0,6
" 100, chemin Morgan, app.6", J1A 1V7, (819) 849-9484,,, diane.premont@reseaucoop.com,,7,0,7
" 179, rue Brooks", J1H 4Y1, (819) 563-3321,,, shq.coopdupossible@gmail.com,,9,0,9
" 580, rue Vimy Nord, app. 4", J1J 3N3, (819) 432-5888,,, leradoub@outlook.com,,1,0,1
" 2525, rue Galt Ouest, app. 13", J1K 1L7, (819) 564-4004,, (819) 564-4012, info@cooprivegauche.ca,,75,0,75
" 80, rue Blouin, appartement 105", J0B 1R0,,,,,,4,0,4
" 170, rue de la Rivière, app. 200", J1A 3C6, (819) 849-9102,,, diane.premont@reseaucoop.com,,3,0,3
" 8, rue Papineau, app. 205", J0B 3E0,,,,,,2,0,2
" 472, rue St-Jean Baptiste", J1A 2K1, (819) 849-0306,,, diane.premont@reseaucoop.com,,4,0,4
" 950, rue Montcalm", J0E 2L0, (450) 562-8891,,, mda@cooptel.qc.ca,,10,0,10
" 278, rue Lorne, appartement 103", J0B 2H0,,,, reseau.coopvsfrichmond@yahoo.com,,2,0,2
" 216, rue Laval, appartement 201", J1C 0R1,,,, reneb99@hotmail.com,,3,0,3
" 240, rue Cyr, appartement 104", J2G 8R9, (450) 777-3266,,, cooplavoliere@videotron.ca,,5,0,5
" 3443, rue Lafontaine", G6B 2K5, (819) 583-1929,,, cooperativedelafontaine@gmail.com,,8,0,8
" 184, rue Biron, bureau 300", J1G 1G8, (819) 569-4080,, (819) 569-0948, nathalie.ouellette@reseaucoop.com,,12,0,12
" Bureau 100 , 1360, rue de Courcelette", J1H 3Y5, (819) 564-4004,,, lagrandevie1360@gmail.com,,43,0,43
" 80, rue St-Lambert, app. 004", J1C 0N8, (819) 630-0127,, (819) 829-1593, coopladiligence@outlook.com,,19,0,19
" Bureau 101 , 3601, boul. Gaétan-Laberge", H4G 0A5, (514) 933-2755,,, carevebleu@gmail.com,,10,0,10
" 5310, rue Molson, bureau 733", H1Y 0C8,,,, selection.dugorille@gmail.com,,14,0,14
" 2155, rue Saint-Patrick", H3K 0B9, (514) 933-2755,,,,,0,0,0
" 1000, rue Atateken , Bureau 201", H2L 3K5, (514) 489-3204,,,,,0,0,0
" 592, chemin Grande-Côte", J7G 0B4, (514) 404-6466,,,,,32,0,32
" 1000, rue Amherst , Bureau 201", H2L 3K5, (514) 849-7800,,,,,25,0,25
" 4880, boulvard Robert, app,100", H1R 0E1, (514) 709-6726,,, goabinginette@yahoo.fr,,91,0,91
" 1000, rue Amherst , Bureau 201", H2L 3K5,,,,,,16,0,16
