Name,Link
"Coop.Hab. Emile-Couture, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_emile_couture.html
"Coop.Hab. Espérance Saguenay, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_esperance_saguenay.html
"Coop.Hab. Habitat 2000, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_habitat_2000.html
"Coop.Hab. Jeannoise Roberval, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_jeannoise_roberval.html
"Coop.Hab. La Loge d'à Côté, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_la_loge_da_cote.html
"Coop.Hab. Lanjevine Chicoutimi, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_lanjevine_chicoutimi.html
"Coop.Hab. Loginaud, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_loginaud.html
"Coop.Hab. Lorenzo Genest, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_lorenzo_genest.html
"Coop.Hab. Manoir des pins Alma, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_manoir_des_pins_alma.html
"Coop.Hab. Marguerite-Belley, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_marguerite_belley.html
"Coop.Hab. Métabetchouan, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_metabetchouan.html
"Coop.Hab. Mistral de Jonquière, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_mistral_de_jonquiere.html
"Coop.Hab. Moraine, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_moraine.html
"Coop.Hab. Moulin, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_moulin.html
"Coop.Hab. Nolin d'Alma, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_nolin_dalma.html
"Coop.Hab. Pentagone, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_pentagone.html
"Coop.Hab. Place des Lilas, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_place_des_lilas.html
"Coop.Hab. Quartier Latin Alma, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_quartier_latin_alma.html
"Coop.Hab. Roberval, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_roberval.html
"Coop.Hab. Saint-Alfred, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_saint_alfred.html
"Coop.Hab. Source, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_source.html
"Coop.Hab. St-Eugène, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_st_eugene.html
"Coop.Hab. St-Georges, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_st_georges.html
"Coop.Hab. St-Jean-Eudes, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_st_jean_eudes.html
"Coop.Hab. Ste-Anne, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ste_anne.html
"Coop.Hab. Ste-Berthe, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ste_berthe.html
"Coop Hab. Everell, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_everell.html
"Coop, solida, Habi. Métisse, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_solida_habi_metisse.html
"Coop. de solidarité Châtelois, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_de_solidarite_chatelois.html
"Coop. Hab. Bons Amis Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_bons_amis_quebec.html
"Coop. Hab. De la Vigne, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_de_la_vigne.html
"Coop. Hab. Le Contemporain, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_le_contemporain.html
"Coop. Hab. Septième Ciel, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_septieme_ciel.html
"Coop. sol. Rés. portneuvienne, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_sol_res_portneuvienne.html
"Coop. solidarité L'Étale, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_solidarite_letale.html
"Coop. solidarité villa clocher, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_solidarite_villa_clocher.html
"Coop.Hab. 4 Vents, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_4_vents.html
"Coop.Hab. 8ème Rue, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_8eme_rue.html
"Coop.Hab. Accord, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_accord.html
"Coop.Hab. Accordéons-Nous, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_accordeons_nous.html
"Coop.Hab. Améthyste, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_amethyste.html
"Coop.Hab. Aquarelle de Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_aquarelle_de_quebec.html
"Coop.Hab. Arbres, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_arbres.html
"Coop.Hab. Archange, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_archange.html
"Coop.Hab. Art de vivre, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_art_de_vivre.html
"Coop.Hab. au Coin du Clocher, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_au_coin_du_clocher.html
"Coop.Hab. Aubergine, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_aubergine.html
"Coop.Hab. Avant-Gardiste, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_avant_gardiste.html
"Coop.Hab. Beau Lieu Limoilou, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_beau_lieu_limoilou.html
"Coop.Hab. Beau Quartier, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_beau_quartier.html
"Coop.Hab. Beau Rivage, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_beau_rivage.html
"Coop.Hab. Bonne aventure, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bonne_aventure.html
"Coop.Hab. Bonne entente St-Ro., ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bonne_entente_st_ro.html
"Coop.Hab. Bonne-entente, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bonne_entente.html
"Coop.Hab. Botany, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_botany.html
"Coop.Hab. Brin de Vie, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_brin_de_vie-1.html
"Coop.Hab. Calembour, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_calembour.html
"Coop.Hab. Cambronne, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_cambronne.html
"Coop.Hab. Cap Blanc, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_cap_blanc.html
"Coop.Hab. Centre ville Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_centre_ville_quebec.html
"Coop.Hab. Chalet de Coucous, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_chalet_de_coucous.html
"Coop.Hab. Champfleury, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_champfleury.html
"Coop.Hab. Champigny, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_champigny.html
"Coop.Hab. Chauveau, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_chauveau.html
"Coop.Hab. Chemin, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_chemin.html
"Coop.Hab. Chez-Nous, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_chez_nous.html
"Coop.Hab. Chloé, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_chloe.html
"Coop.Hab. Clarisse, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_clarisse.html
"Coop.Hab. Colombe de Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_colombe_de_quebec.html
"Coop.Hab. d'Aiguillon, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_daiguillon.html
"Coop.Hab. de l'Arc, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_de_larc.html
"Coop.Hab. De Lafontaine, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_de_lafontaine.html
"Coop.Hab. des Cyprès, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_des_cypres.html
"Coop.Hab. Échouerie, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_echouerie.html
"Coop.Hab. Ernest Chapleau, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ernest_chapleau.html
"Coop.Hab. Escargot, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_escargot.html
"Coop.Hab. Espoir, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_espoir.html
"Coop.Hab. Etoile du Nord, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_etoile_du_nord.html
"Coop.Hab. Eveil de Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_eveil_de_quebec.html
"Coop.Hab. Faisan Bleu, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_faisan_bleu.html
"Coop.Hab. Falaise Sillery, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_falaise_sillery.html
"Coop.Hab. Faux-Bourg de Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_faux_bourg_de_quebec.html
"Coop.Hab. Felouque, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_felouque.html
"Coop.Hab. Giron, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_giron.html
"Coop.Hab. Gîte de Beauport, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_gite_de_beauport.html
"Coop.Hab. Grand'Voile, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_grandvoile.html
"Coop.Hab. Grandbourg, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_grandbourg.html
"Coop.Hab. Grenier de Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_grenier_de_quebec.html
"Coop.Hab. Hab. sympathiques, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_hab_sympathiques.html
"Coop.Hab. Harmonie Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_harmonie_quebec.html
"Coop.Hab. Hirondelle, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_hirondelle.html
"Coop.Hab. Ilôt Berthelot, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ilot_berthelot.html
"Coop.Hab. Ilot Fleuri, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ilot_fleuri.html
"Coop.Hab. Infidèle, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_infidele.html
"Coop.Hab. Jean-Paul II, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_jean_paul_ii.html
"Coop.Hab. L'ancolie de Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_lancolie_de_quebec.html
"Coop.Hab. L'Escalier, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_lescalier.html
"Coop.Hab. L'Horizon nouveau, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_lhorizon_nouveau.html
"Coop.Hab. La Baraque, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_la_baraque.html
"Coop.Hab. La Maison du Peuple, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_la_maison_du_peuple.html
"Coop.Hab. Laurier, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_laurier.html
"Coop.Hab. Le Harfang Beauport, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_le_harfang_beauport.html
"Coop.Hab. Le Paradisier, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_le_paradisier.html
"Coop.Hab. Les Méritas, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_les_meritas.html
"Coop.Hab. Les Pénates, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_les_penates.html
"Coop.Hab. Les Roselins, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_les_roselins.html
"Coop.Hab. Lilas blancs, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_lilas_blancs.html
"Coop.Hab. Maison d'Oz, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_maison_doz.html
"Coop.Hab. Maizerets-d'Assise, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_maizerets_dassise.html
"Coop.Hab. Manoir Savard, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_manoir_savard.html
"Coop.Hab. Mille fleurs Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_mille_fleurs_quebec.html
"Coop.Hab. Mon logis, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_mon_logis.html
"Coop.Hab. Mont Calme, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_mont_calme.html
"Coop.Hab. Neiges, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_neiges.html
"Coop.Hab. Nord-Sud, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_nord_sud.html
"Coop.Hab. Nordique, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_nordique.html
"Coop.Hab. Odyssée, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_odyssee.html
"Coop.Hab. Oméga, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_omega.html
"Coop.Hab. Orchidée, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_orchidee.html
"Coop.Hab. P.Notre-Dame-de-Foy, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_place_n_dame_de_foy.html
"Coop.Hab. Papillon, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_papillon.html
"Coop.Hab. Perce-Neiges, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_perce_neiges.html
"Coop.Hab. Pétunia, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_petunia.html
"Coop.Hab. Place Orléans, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_place_orleans.html
"Coop.Hab. Pointe-de Ste-Foy, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_pointe_de_ste_foy.html
"Coop.Hab. Porte-Bonheur, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_porte_bonheur.html
"Coop.Hab. Printemps, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_printemps.html
"Coop.Hab. Providence, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_providence.html
"Coop.Hab. Renaissance, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_renaissance.html
"Coop.Hab. Rivières Neufchatel, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_rivieres_neufchatel.html
"Coop.Hab. Rocher Perché, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_rocher_perche.html
"Coop.Hab. Rumeur, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_rumeur.html
"Coop.Hab. Saule rieur, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_saule_rieur.html
"Coop.Hab. Sault Beauport, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_sault_beauport.html
"Coop.Hab. Sicotte, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_sicotte.html
"Coop.Hab. Six balcons, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_six_balcons.html
"Coop.Hab. Soleil, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_soleil.html
"Coop.Hab. Soleil levant Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_soleil_levant_quebec.html
"Coop.Hab. St-Fidèle, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_st_fidele.html
"Coop.Hab. St-Gabriel de Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_st_gabriel_de_quebec.html
"Coop.Hab. Stadacona de Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_stadacona_de_quebec.html
"Coop.Hab. Tournesol Québec, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_tournesol_quebec.html
"Coop.Hab. Un Toit à toi, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_un_toit_a_toi.html
"Coop.Hab. Varsovie, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_varsovie.html
"Coop.Hab. Vaudreuil, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_vaudreuil.html
"Coop.Hab. Vie Nouvelle, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_vie_nouvelle.html
"Coop.Hab. Vivre en ville, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_vivre_en_ville.html
"Habitat Cooperatif St-Denys, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/habitat_cooperatif_st_denys.html
"Maison Pionniers St-Casimir, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/maison_pionniers_st_casimir.html
"Pavillon André-Darveau, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/pavillon_andre_darveau.html
"Coop. Sol. Hab. Sainte-Thècle, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_sol_hab_sainte_thecle.html
"Coop.Hab. Bonheur, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bonheur.html
"Coop.Hab. Centre de Grand-Mère, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_centre_de_grand_mere.html
"Coop.Hab. Domaine Champlain, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_domaine_champlain.html
"Coop.Hab. Douze du Cap, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_douze_du_cap.html
"Coop.Hab. Fleuve, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_fleuve.html
"Coop.Hab. Pierre Boucher, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_pierre_boucher.html
"Coop.Hab. Royale de Shawinigan, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_royale_de_shawinigan.html
"Coop.Hab. Ste-Angèle Trois-Riv, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ste_angele_trois_riv.html
"Coop.Hab. Ste-Madeleine, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ste_madeleine.html
"Coop.Hab. Trait d'union, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_trait_dunion.html
"Coop.Hab. Trois Pélerins, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_trois_pelerins.html
"Coop.Hab.Intermède Louiseville, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophabintermede_louiseville.html
"Coop.sol. de St-Jean-des-Piles, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coopsol_de_st_jean_des_piles.html
"Coop.solid.hab. St-Stanislas, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coopsolidhab_st_stanislas.html
"Coop.solid.Hébergement St-Rémi, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coopsolidhebergement_st_remi.html
"Au jardin des sages, Coop.Sol., ",http://www.habitation.gouv.qc.ca/repertoire/organisme/au_jardin_des_sages_coopsol.html
"Brunante,Coop. solidarité hab., ",http://www.habitation.gouv.qc.ca/repertoire/organisme/brunantecoop_solidarite_hab.html
"Coop de sol. Hab. des Haubans, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_de_sol_hab_des_haubans.html
"Coop solidarité La Passerelle, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_solidarite_la_passerelle.html
"Coop. de sol. l'Autre-Toit, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_de_sol_lautre_toit.html
"Coop. Sol hab. Ruisseau Weedon, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_sol_hab_ruisseau_weedon.html
"Coop. Sol. Monts Vallée, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_sol_monts_vallee.html
"Coop.Hab. Amitié de Granby, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_amitie_de_granby-1.html
"Coop.Hab. Bromptonville, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bromptonville.html
"Coop.Hab. Cantons de l'est, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_cantons_de_lest.html
"Coop.Hab. Champlain de Magog, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_champlain_de_magog.html
"Coop.Hab. Corvée, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_corvee.html
"Coop.Hab. d'Eastman, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_deastman.html
"Coop.Hab. des Grandes Familles, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_des_grandes_familles.html
"Coop.Hab. des Pins, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_des_pins.html
"Coop.Hab. Désormeaux, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_desormeaux.html
"Coop.Hab. Détente de Windsor, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_detente_de_windsor.html
"Coop.Hab. Joins-Toît Farnham, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_joins_toit_farnham-1.html
"Coop.Hab. Mercier Asbestos, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_mercier_asbestos.html
"Coop.Hab. Montagne, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_montagne.html
"Coop.Hab. Moulin des cêdres, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_moulin_des_cedres.html
"Coop.Hab. Place Morgan, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_place_morgan.html
"Coop.Hab. Possible, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_possible.html
"Coop.Hab. Radoub, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_radoub.html
"Coop.Hab. Rive Gauche, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_rive_gauche.html
"Coop.Hab. Rive sud East-Angus, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_rive_sud_east_angus.html
"Coop.Hab. Riverains Coaticook, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_riverains_coaticook.html
"Coop.Hab. Stanstead, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_stanstead.html
"Coop.Hab. Travail. Coaticook, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_travail_coaticook.html
"Coop.Hab. Valcourt, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_valcourt.html
"Coop.Hab. Vallée St-Francois, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_vallee_st_francois.html
"Coop.Hab. Vieux Moulin, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_vieux_moulin.html
"Coop.Hab. Volière, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_voliere-1.html
"Coop.Hab.Fontaine Lac-Mégantic, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophabfontaine_lac_megantic.html
"Coop.Hab.Oasis St-Jean-Baptist, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coophaboasis_st_jean_baptist.html
"Grande Vie, Coop. sol. hab., ",http://www.habitation.gouv.qc.ca/repertoire/organisme/grande_vie_coop_sol_hab.html
"La Diligence -Coop. sol. hab., ",http://www.habitation.gouv.qc.ca/repertoire/organisme/la_diligence_coop_sol_hab.html
"Coop .Hab. Reve Bleu de Verdun, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_reve_bleu_de_verdun.html
"Coop d'habitation du Gorille, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_dhabitation_du_gorille.html
"Coop d'habitation le Trapèze, ",http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_dhabitation_le_trapeze.html
